OBJECTID,Borough,Type,Provider,Latitude,Longitude,Location_T,City,BoroCode,NTACode
365,BK,Free,BPL,40.6197682,-73.93321326,Library,Brooklyn,3,BK58
366,BK,Free,BPL,40.63569422,-73.97459471,Library,Brooklyn,3,BK41
367,SI,Free,NYPL,40.6095775,-74.14850245,Library,Staten Island,5,SI07
368,QU,Free,QPL,40.75924513,-73.73182668,Library,Little Neck,4,QN45
369,QU,Free,QPL,40.68031131,-73.79167861,Library,Jamaica,4,QN76
370,QU,Free,QPL,40.70257666,-73.87579711,Library,Glendale,4,QN19
371,BK,Free,BPL,40.70693042,-73.95755461,Library,Brooklyn,3,BK72
372,BK,Free,BPL,40.61025667,-73.95310585,Library,Brooklyn,3,BK44
373,QU,Free,QPL,40.68690729,-73.8248297,Library,Richmond Hill,4,QN55
374,BK,Free,BPL,40.66821669,-73.98342743,Library,Brooklyn,3,BK37
375,BX,Free,NYPL,40.82999288,-73.8750206,Library,Bronx,2,BX08
376,QU,Free,QPL,40.76064312,-73.93647199,Library,Long Island City,4,QN68
377,QU,Free,QPL,40.74534171,-73.90979374,Library,Woodside,4,QN63
378,QU,Free,QPL,40.72925295,-73.78190892,Library,Flushing,4,QN41
379,BK,Free,BPL,40.70455906,-73.93961842,Library,Brooklyn,3,BK78
380,BX,Free,NYPL,40.82064156,-73.90462886,Library,Bronx,2,BX34
381,QU,Free,QPL,40.66380446,-73.84179686,Library,Howard Beach,4,QN57
382,MN,Free,NYPL,40.7481247,-73.9830631,Library,New York,1,MN17
383,MN,Free,NYPL,40.76125337,-73.95016589,Library,New York,1,MN31
384,BX,Free,NYPL,40.82660923,-73.85018146,Library,Bronx,2,BX59
385,BX,Free,NYPL,40.82290357,-73.81909364,Library,Bronx,2,BX52
386,QU,Free,QPL,40.6728752,-73.77059022,Library,Jamaica,4,QN02
